City,Latitude,Longitude
Chula Vista,32.6401,-117.0842
Toledo,41.6528,-83.5379
Fort Wayne,41.0793,-85.1394
St. Petersburg,27.7676,-82.6403
Laredo,27.5306,-99.4803
Jersey City,40.7128,-74.006
Chandler,33.3062,-111.8413
Madison,43.0731,-89.4012
Lubbock,33.5779,-101.8552
Scottsdale,33.4942,-111.9261
Reno,39.5296,-119.8138
Buffalo,42.8802,-78.8785
Gilbert,33.3528,-111.789
Glendale,34.1425,-118.2551
North Las Vegas,36.1989,-115.1175
Winston-Salem,36.0999,-80.2442
Chesapeake,36.7682,-76.2875
Norfolk,36.8508,-76.2859
Fremont,37.5485,-121.9886
Garland,32.9126,-96.6389
Irving,32.814,-96.9489
Hialeah,25.8576,-80.2781
Boise,43.615,-116.2023
Richmond,37.5407,-77.436
Baton Rouge,30.4515,-91.1871
Spokane,47.6588,-117.426
Des Moines,41.5868,-93.625
Tacoma,47.2529,-122.4443
San Bernardino,34.1083,-117.2898
Modesto,37.6391,-120.9969
Fontana,34.0922,-117.435
Santa Clarita,34.3917,-118.5426
Birmingham,33.5207,-86.8025
Oxnard,34.1975,-119.1771
Fayetteville,35.0527,-78.8784
Moreno Valley,33.9425,-117.229
Rochester,43.1566,-77.6088
London,51.5074,-0.1278
Paris,48.8566,2.3522
Sydney,-33.8688,151.2093
Toronto,43.6511,-79.3757
Mumbai,19.076,72.8777
Tokyo,35.682839,139.759455
Beijing,39.9042,116.4074
Rio de Janeiro,-22.9068,-43.1729
Buenos Aires,-34.6118,-58.4173
Cairo,30.0444,31.2357
Cape Town,-33.9249,18.4241
Moscow,55.7558,37.6173
Istanbul,41.0082,28.9784
Dubai,25.276987,55.296249
Bangkok,13.7563,100.5018
Hong Kong,22.3193,114.1694
Singapore,1.3521,103.8198
Seoul,37.5665,126.978
Munich,48.1351,11.582
Amsterdam,52.3676,4.9041
Rome,41.9028,12.4964
Athens,37.9838,23.7275
Berlin,52.52,13.405
Madrid,40.4168,-3.7038
Vienna,48.2082,16.3738
Stockholm,59.3293,18.0686
Oslo,59.9139,10.7522
Lisbon,38.7223,-9.1393
Warsaw,52.2297,21.0122
Prague,50.0755,14.4378
Budapest,47.4979,19.0402
Zurich,47.3769,8.5417
Sydney,-33.8688,151.2093
Melbourne,-37.8136,144.9631
Auckland,-36.8485,174.7633
Wellington,-41.2865,174.7762
Sao Paulo,-23.5505,-46.6333
Bogota,4.711,-74.0721
Lima,-12.0464,-77.0428
Mexico City,19.4326,-99.1332
Vancouver,49.2827,-123.1207
Montreal,45.5017,-73.5673
Copenhagen,55.6761,12.5683
Osaka,34.6937,135.5022
Bangalore,12.9716,77.5946
Munich,48.1351,11.582
Vienna,48.2082,16.3738
Beirut,33.8886,35.4955
Johannesburg,-26.2041,28.0473
Nairobi,-1.286389,36.817223
Cape Town,-33.9249,18.4241
Sydney,-33.8688,151.2093
Wellington,-41.2865,174.7762
Auckland,-36.8485,174.7633
Mumbai,19.076,72.8777
Tokyo,35.682839,139.759455
Shanghai,31.2304,121.4737
Seoul,37.5665,126.978
Beijing,39.9042,116.4074
Manila,14.5995,120.9842
Hanoi,21.0285,105.8542
Bangkok,13.7563,100.5018
Kuala Lumpur,3.139,101.6869
Jakarta,-6.2088,106.8456
Perth,-31.9505,115.8605
Dubai,25.276987,55.296249
Istanbul,41.0082,28.9784
Athens,37.9838,23.7275
Rome,41.9028,12.4964
Barcelona,41.3851,2.1734
Paris,48.8566,2.3522
Berlin,52.52,13.405
Amsterdam,52.3676,4.9041
Vienna,48.2082,16.3738
Prague,50.0755,14.4378
Budapest,47.4979,19.0402
Warsaw,52.2297,21.0122
Zurich,47.3769,8.5417
Stockholm,59.3293,18.0686
Oslo,59.9139,10.7522
Copenhagen,55.6761,12.5683
Dublin,53.349805,-6.26031
Helsinki,60.1699,24.9384
Moscow,55.7558,37.6173
St. Petersburg,59.9343,30.3351
Riga,56.9496,24.1052
Tallinn,59.437,24.7536
